1,1000
2,1000.5
3,1001
4,1001.5
5,1002
6,1002.5
7,1003
8,1003.5
9,1004
10,1004.5
11,1000
12,1000.5
13,1001
14,1001.5
15,1002
16,1002.5
17,1003
18,1003.5
19,1004
20,1004.5
21,1000
22,1000.5
23,1001
24,1001.5
25,1002
26,1002.5
27,1003
28,1003.5
29,1004
30,1004.5
31,1000
32,1000.5
33,1001
34,1001.5
35,1002
36,1002.5
37,1003
38,1003.5
39,1004
40,1004.5
41,1000
42,1000.5
43,1001
44,1001.5
45,1002
46,1002.5
47,1003
48,1003.5
49,1004
50,1004.5
51,1000
52,1000.5
53,1001
54,1001.5
55,1002
56,1002.5
57,1003
58,1003.5
59,1004
60,1004.5
