1,1000
2,1000
3,1000
4,1000
5,2000
6,2000
7,2000
8,2000
9,2000
10,1000
11,1000
12,1000
13,1000
14,2000
15,2000
16,2000
17,2000
18,2000
19,1000
20,1000
21,1000
22,1000
23,2000
24,2000
25,2000
26,2000
27,2000
28,1000
29,1000
30,1000
31,1000
32,2000
33,2000
34,2000
35,2000
36,2000
37,1000
38,1000
39,1000
40,1000
41,2000
42,2000
43,2000
44,2000
45,2000
46,1000
47,1000
48,1000
49,1000
50,2000
51,2000
52,2000
53,2000
54,2000
55,1000
56,1000
57,1000
58,1000
59,2000
60,2000
